id,repository,number,title,body,status,commits,additions,deletions,files,create_date
154,mremi/Flowdock,5,Added alternative symfony/console versions (~3.0 and ~4.0).,"I added alternative `symfony/console` versions (~3.0 and ~4.0).

I develop project [PHP Censor](https://github.com/php-censor/php-censor) which use your library and it use `symfony/console` v3.4.*. Could you release new version (I guess: `1.0.1`) of library after the pull request merge please?",merged,2,12,5,3,2018-11-30 16:27:17
164,codeguy/php-the-right-way,839,Fixed links for PHPCI and PHP Censor.,"",merged,1,2,2,1,2019-10-23 17:21:04
162,mremi/Flowdock,9,Updated PHPUnit version from 4.1 to 5.7,Updated PHPUnit version from 4.1 to 5.7 (Latest major version with PHP 5.6 support).,merged,2,5,3,4,2019-10-16 16:55:43
158,php-censor/php-censor,268,Documentation improvements.,"## Contribution type

Documentation.

## Description of change

Improved documentation.
",merged,1,49,48,24,2019-02-01 11:23:05
159,peter-gribanov/clean-code-php,27,Fixed type,Fixed type.,merged,1,1,1,1,2019-07-11 15:01:32
160,corpsee/clean-code-php,1,Fixed type,Fixed type.,closed,1,1,1,1,2019-07-11 14:59:19
168,php-censor/php-censor,380,Added variable for interpolation APP_VERSION (%APP_VERSION%).,"## Contribution type

Feature.

## Description of change

Fixed #374. Added variable for interpolation APP_VERSION (%APP_VERSION%).
",merged,1,15,8,6,2020-10-10 16:10:54
165,smi2/phpClickHouse,135,Added more debug info for empty response with error,"Added more debug info for the response without any error message and with http error code only.

The additional details from `QueryException` can be logged in try/catch block.
",merged,1,54,2,4,2020-03-23 03:45:13
149,docker/docker.github.io,7506,Added more information about Docker Engine/Compose versions.,"### Proposed changes

I Add more information about Docker Engine/Compose versions to section about Compose file.
",closed,1,39,29,2,2018-10-13 05:02:08
169,php-censor/php-censor,379,Fixed SQLite plugin PDO initialization. Issue #377.,"## Contribution type

Bugfix.

## Description of change

Fixed #377 (SQLite PDO class constructor evoke with wrong params order).
",merged,1,1,1,1,2020-10-10 15:44:13
166,smi2/phpClickHouse,140,Fixed typo in streamRead exception text,Fixed typo in streamRead exception text.,merged,1,1,1,1,2020-08-27 10:53:01
167,cakephp/phinx,1902,Improve missing migration file notice for more clear ('MISSING' -> 'M…,Improve missing migration file notice for more clear ('MISSING' -> 'MISSING MIGRATION FILE').,merged,1,15,15,2,2020-10-01 15:29:30
171,sebastianbergmann/phploc,224,Fixed version 4.0.1 for XDebug version 3.,"I should support project which still has minimal PHP version 5.6. And project use latest PHPLoc version with PHP 5.6 support (It is a 4.0.1). For now PHPLoc 4.0.1 broken if you are using XDebug version 3+.

I know that you are not support now version 4, but could you release patch 4.0.2 if it is not very difficult? Thanks.",closed,1,3,1,1,2020-12-14 16:04:40
173,roowix/handbook,23,Fixed php.md,Fixed php.md,open,1,1,1,1,2021-06-09 04:13:43
170,php-censor/php-censor,381,Improved PHP Censor version variable,"## Contribution type

Enhancement.

## Description of change

Improved PHP Censor version variable: renamed APP_VERSION (%APP_VERSION%) to SYSTEM_VERSION (%SYSTEM_VERSION%). #374.
",merged,1,20,12,8,2020-10-12 16:13:08
172,php-amqplib/php-amqplib,917,Improved examples and dosc,Removed using of internal property `AMQPMessage::delivery_info` from docs and examples.,merged,1,8,5,3,2021-05-14 15:16:06
124,ciandcd/awesome-ciandcd,30,Fixes for PHP Censor.,Fixes for PHP Censor.,merged,1,1,1,1,2017-09-23 14:28:51
123,cakephp/phinx,1193,Added full support of different schemas for Postgres.,"Added full support of different schemas for Postgres (#828). Use-case:
```php
$this->getAdapter()->createSchema('schema1');

if (!$this->hasTable('schema1.example1')) {
    $table = $this->table('schema1.example1');
    $table
        ->addColumn('column1', 'integer')
        ->save();
}

$this->getAdapter()->createSchema('schema2');

if (!$this->hasTable('schema2.example2')) {
    $table = $this->table('schema2.example2');
    $table
        ->addColumn('column2', 'integer')
        ->save();

    $table
        ->addForeignKey('column2', 'schema1.example1', 'id')
        ->save();
}
```

Instead of now:
```php
$this->getAdapter()->createSchema('schema1');
$this->getAdapter()->setOptions(array_replace($this->getAdapter()->getOptions(), ['schema' => 'schema1']));

if (!$this->hasTable('example1')) {
    $table = $this->table('example1');
    $table
        ->addColumn('column1', 'integer')
        ->save();
}

$this->getAdapter()->createSchema('schema2');
$this->getAdapter()->setOptions(array_replace($this->getAdapter()->getOptions(), ['schema' => 'schema2']));

if (!$this->hasTable('example2')) {
    $table = $this->table('example2');
    $table
        ->addColumn('column2', 'integer')
        ->save();

    $this->execute('ALTER TABLE schema2.example2 ADD CONSTRAINT example2_column2_fkey FOREIGN KEY (column2) REFERENCES schema1.example1(id)');
}

$this->getAdapter()->setOptions(array_replace($this->getAdapter()->getOptions(), ['schema' => 'public']));
```",merged,5,515,66,2,2017-09-22 14:38:01
89,Block8/PHPCI,1236,Added localization for build details widget (+ Russian translation),"Contribution Type: bug fix / localization
Link to Intent to Implement:
Link to Bug:

This pull request affects the following areas:

* [x] Front-End
* [ ] Builder
* [ ] Build Plugins

**In raising this pull request, I confirm the following (please check boxes):**

- [x] I have read and understood the [contributing guidelines](/.github/CONTRIBUTING.md)?
- [x] I have checked that another pull request for this purpose does not exist.
- [x] I have considered, and confirmed that this submission will be valuable to others.
- [ ] I have created or updated the relevant documentation for this change on the PHPCI Wiki.
- [ ] Do the PHPCI tests pass?

Detailed description of change:

Added localization for build details widget (+ Russian translation)



",closed,1,27,11,3,2016-06-23 16:03:01
81,Block8/PHPCI,1107,Project groups localization,"**Contribution Type**: Impovement

**Primary Area**: Project groups, Lang

**Description of change**:

* Added localization for Project Groups (+ ru localization)

* Added fallback to english for missing localization strings",closed,2,62,16,7,2015-10-21 16:24:56
176,php-censor/php-censor,422,Documentation fixes,"## Contribution type

Documentation fixes

## Description of change

Documentation fixes
",merged,1,125,117,4,2021-10-19 15:37:31
178,borsaco/TelegramBotApiBundle,15,Improved types and code style.,Fixed types ans some code style problems.,merged,1,34,39,4,2022-01-27 16:44:22
179,borsaco/TelegramBotApiBundle,14,Fixed PHP version requirement (7.1 -> 7.2),"Fixed PHP version requirement (7.1 -> 7.2) because ""irazasyed/telegram-bot-sdk: ^3.4"" require minimal PHP version ^7.2. Installation on PHP version 7.1 failed.",merged,1,1,1,1,2022-01-27 16:43:40
177,php-censor/php-censor,423,Fixes for steps. PR #417.,"## Contribution type

Fixes/Documentation

## Description of change

Improved documentation and small fixes for feature #417.
",merged,1,241,204,53,2021-10-22 15:53:08
174,php-censor/php-censor,421,Updated Codeception version.,"## Contribution type

Bugfix

## Description of change

Updated version of Codeception (CVE-2021-23420: Deserialization of Untrusted Data https://github.com/advisories/GHSA-4574-qv3w-fcmg).
",merged,1,859,95,2,2021-10-14 16:50:39
175,php-censor/php-censor,420,Fixes for documentation.,"Documentation fixes.
",merged,1,67,69,50,2021-10-14 16:21:40
181,abstractart/how-to-develop-perfect-crud,14,Added point about git repository force push,Added point about git repository force push,merged,1,1,0,1,2023-02-07 12:00:33
180,abstractart/how-to-develop-perfect-crud,28,Added security utilities for PHP.,Added security utilities for PHP.,merged,1,1,0,1,2023-02-26 04:20:45
